type,text
spam,"GOV UK CORONAVIRUS ALERT New rules in force now you must stay at home, More info at *govdotuk/coronavirus* Stay at home, Protect the NHS, Save lives"
spam,"We would like to inform you that you have been recorded as leaving your home on *3* occasions yesterday, A fine of *35* pounds has been added to you *gov/uk* account, For further information please visit *govdotukslashcoronaviruspenaltypaymenttracking*, Protect the NHS, Save lives"
spam,"NHS We have identified that you are eligible to apply for your vaccine, For more information and to apply, follow here  *uk/application/formdotcom*"
spam,"Recharging succeeded, The recharged amount is TK *50.00*,Dial korun *999* ar recharge korey upobhog korun cash back, free minute shoho horek rokom offer"
spam,Your balance is finished. Dial *123*007* To get Jhotpot loan
spam,"Tk *34.55* have been deducted to settle your recent Jhotpot advances. Current outstanding Tk *0,0* For Details dial *123*600*"
spam,"Tk*32* have been added to your account *plus*1 bonus minute gift from Robi, Tk*32* *plus* Service fee of Tk*2.55* will be deducted from your next recharge, Your total outstanding is Tk *34,55* For Details dial *123*600*"
spam,"You have used *5*MB PPU *annoy* *1*Tk/MB(*plus*tax),Robi *2*GB *23*Tk *3*D in All Freedom Pack, Dial *123*23* Airtel *1.5* GB *3*Days at *38*Tk Recharge or dial *123*038*"
spam,"Just Dial *325* and do Unlimited Chat with any in your Family,Friends and Get Top News Alerts with Social Xpress on your Phone FREE FROM INTERNET"
spam,"Priyo Grahok,apnar bortoman offerti agamikal raat 12ta porjonto karjokar thakbe Offerti chalu thakle punorai upobhog korte nirdistro poriman taka recharge"
spam,"*207* Transaction number R*191118,1101,660167* to recharge *49* TAKA from 1820629041 is successful and valid till *18,12,19* To get offers dial *999*"
spam,"For lowest rate minute bundle dial *0*, for attractive data packs dial *4* , dial *999* to know your best offers"
spam,"You have got *1*p/sec call rate for next *2* days, Please recharge Tk *21* again to continue the offer"
spam,"Bangladesh Team preparing hard for Test series against India, Just Dial *16477* and receive Cricket Updates and News without Internet"
ham,check your email
ham,go to bed early
ham,tell your mother that I am going outside
ham,I will call you later
ham,God is great
ham,Do you have any problem *question*
ham,I know your name
ham,"Goodbye, See you next time"
